,age,balance,day,duration,campaign,pdays,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_married,marital_single,education_secondary,education_tertiary,default_yes,housing_yes,loan_yes,contact_telephone,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,poutcome_other,poutcome_success,subscribed_yes,TotalDays
0,32.0,0.8166666666666667,1,1.6779225002603573,2,0.9396115400483361,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7632628836252842
1,39.0,1.4333333333333333,1,0.8096513826434959,2,0.9440613068254747,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5446069828018048
2,59.0,2.15625,1,0.5810400664275364,2,1.155386257085655,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5951853601818522
3,47.0,0.8291666666666667,1,0.8850436383177311,1,1.153587574135627,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8046093351628811
4,54.0,2.091666666666667,1,1.194806457922127,1,1.2706777538095466,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6217373022314538
5,46.0,1.9291666666666667,1,1.173796730066148,1,0.9440613068254747,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9440478512191227
6,34.0,4.008333333333334,1,0.6617140907494811,2,1.1802339094128025,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6009677395538868
7,45.0,0.825,1,0.8434523397286621,4,1.3053016659745074,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1462795978781528
8,58.0,0.65625,1,0.5689649583487022,2,0.9484913608629537,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7650131590341334
9,49.0,43.18125,1,0.9043397744922106,3,0.9418388984879098,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763702199628468
10,38.0,1.4895833333333333,2,1.6731015874860917,1,0.9418388984879098,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943681859105533
11,49.0,0.37916666666666665,2,0.9351335449974855,1,1.308390650418091,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8334907686549794
12,36.0,9.610416666666667,2,0.9633708715310909,1,0.946278787014555,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7645773315773685
13,39.0,1.0583333333333333,2,1.3385862293679367,2,0.9484913608629537,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2292527116461145
14,48.0,0.0,2,0.6279331809805158,1,1.2044790955397628,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606577869565477
15,38.0,0.0,2,1.192204254991298,2,1.2044790955397628,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606577869565477
16,46.0,-0.0625,2,0.6683354621643125,1,1.2594048119984287,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8244414302039286
17,35.0,1.1666666666666667,2,0.4028293055278349,1,0.9506990500340388,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5462351919884938
18,58.0,0.0020833333333333333,2,0.9844386112626846,1,0.7777990237792107,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7308199384300357
19,35.0,9.058333333333334,2,1.7675635143986765,3,1.1150480430620127,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5599986181616596
20,32.0,0.48541666666666666,2,0.4559025284716273,2,0.9440613068254747,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0964706328280385
21,30.0,0.0,2,0.9181430924477203,2,1.2818250316898376,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8285933674108009
22,53.0,2.935416666666667,2,1.1751228495051327,1,1.2381261074764598,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6143117202720315
23,40.0,1.5375,2,1.0850442630430217,2,1.1889605393943852,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9835793595944172
24,57.0,3.3979166666666667,2,0.8489764017983601,2,1.1941601958003105,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984401973577725
25,37.0,1.01875,3,0.8341772120204441,2,0.9440613068254747,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3454765426699824
26,38.0,-0.8770833333333333,3,0.7176932315889644,1,1.3099315718085718,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.273025297206227
27,54.0,0.2833333333333333,3,1.014452869071174,1,1.3099315718085718,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8337741046074455
28,56.0,0.0,3,1.0160078858676946,2,1.1335855435632163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1229119130521288
29,24.0,1.0333333333333334,3,0.9249739533950575,1,1.2959770456987203,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8312052917794104
30,35.0,6.639583333333333,3,1.149620850105341,1,0.9484913608629537,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9447770049096594
31,31.0,1.4479166666666667,3,0.9534955485103807,1,1.2881395543191274,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6256980279513622
32,34.0,-0.125,3,0.4747669447360071,1,1.3099315718085718,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6306190395188839
33,38.0,0.5729166666666666,3,0.890343255017634,2,1.3114701224130476,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6309655571517077
34,56.0,8.225,3,1.2012824934036652,1,0.9484913608629537,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9447770049096594
35,39.0,1.0770833333333334,3,0.822932294249998,1,0.9506990500340388,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2295259766949336
36,56.0,0.5895833333333333,20,0.48802692474307285,3,1.3236940460388593,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836301116856152
37,57.0,6.420833333333333,20,0.8725675372316022,2,1.249640102720486,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9931373235863667
38,46.0,0.6083333333333333,20,1.0660122427814966,2,1.1463603140934728,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.124669270754841
39,40.0,0.35208333333333336,20,0.7726879465010188,1,1.3312588077976364,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6354117614649479
40,34.0,16.745833333333334,20,0.31596918014554176,3,0.9853748973391909,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5546981913760746
41,31.0,0.14791666666666667,20,0.7134966582220504,3,1.31607162218251,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3856584463906803
42,43.0,0.21041666666666667,20,0.5929711042060479,2,1.3357703480551655,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0065491891196416
43,27.0,5.8,20,0.6438397152313631,1,1.3037535881840596,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6292264025291744
44,53.0,0.46875,20,0.9368168203747378,1,1.3221742022901748,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6333730486757861
45,34.0,1.1458333333333333,20,0.4906579513081601,3,1.3312588077976364,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6354117614649479
46,33.0,5.2125,20,0.9043397744922106,1,1.2095988882791728,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6077585319473505
47,51.0,0.029166666666666667,20,0.8096513826434959,2,1.3053016659745074,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6295755513478449
48,50.0,0.46041666666666664,20,0.9617317418695784,2,1.3221742022901748,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6333730486757861
49,34.0,2.535416666666667,20,0.618728826799455,2,1.3037535881840596,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001584644920733
50,43.0,0.5541666666666667,20,0.4613287721835787,1,0.9853748973391909,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5546981913760746
51,35.0,0.25416666666666665,20,0.37667110632216505,5,1.3037535881840596,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2722929769064881
52,42.0,0.15,20,0.5762275060056645,2,1.3342687617227567,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0063169019844354
53,45.0,1.0354166666666667,20,0.4422066860358215,1,1.2928494164314155,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8306286371536726
54,31.0,1.3229166666666667,20,0.3406938464885326,1,1.2912819258582984,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8303395069536589
55,35.0,0.75,20,0.30019996224679574,1,0.9853748973391909,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9508272064104852
56,35.0,2.8020833333333335,20,0.6661332061650153,1,1.2112996774299385,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6081504383567924
57,39.0,4.789583333333334,20,1.1563952094181917,1,1.2112996774299385,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6081504383567924
58,48.0,0.0,20,0.4906579513081601,2,1.190696763977073,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6033926166084693
59,33.0,31.960416666666667,20,0.9876407658449085,1,1.3130063095154627,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0030219131715554
60,33.0,0.59375,1,1.1248459861104465,1,1.3053016659745074,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6295755513478449
61,37.0,2.4583333333333335,1,1.5305061753869298,1,0.9484913608629537,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5456939497370368
62,32.0,3.63125,1,1.8259189752319929,1,1.1941601958003105,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.984401973577725
63,35.0,0.0,1,0.9215643554927095,1,1.264251641770729,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6202757588338822
